station1,station2,line
11,163,1
11,211,1
49,87,1
49,196,1
82,163,1
82,192,1
84,148,1
87,278,1
113,245,1
113,297,1
114,140,1
137,205,1
137,297,1
140,236,1
143,159,1
143,205,1
148,278,1
159,277,1
185,236,1
185,280,1
191,196,1
191,211,1
192,277,1
245,280,1
13,156,2
13,249,2
16,91,2
16,173,2
24,156,2
24,164,2
28,162,2
28,191,2
37,158,2
37,300,2
48,126,2
48,249,2
51,103,2
51,214,2
68,158,2
68,255,2
72,285,2
76,181,2
76,295,2
88,255,2
91,109,2
98,173,2
98,210,2
103,109,2
105,177,2
105,195,2
112,181,2
112,195,2
126,258,2
127,186,2
127,225,2
149,162,2
149,207,2
153,154,2
153,246,2
154,229,2
154,274,2
164,246,2
177,238,2
181,285,2
186,207,2
191,258,2
210,274,2
214,300,2
220,238,2
220,293,2
225,295,2
229,240,2
240,300,2
2,156,3
2,262,3
11,83,3
11,104,3
14,92,3
14,167,3
18,186,3
18,192,3
25,161,3
25,254,3
44,161,3
44,166,3
83,192,3
87,254,3
87,284,3
90,104,3
90,145,3
92,145,3
99,122,3
99,235,3
122,186,3
156,167,3
150,308,3
166,262,3
228,235,3
228,272,3
247,272,3
247,284,3
308,226,3
3,262,4
3,294,4
15,78,4
15,268,4
17,110,4
17,292,4
18,186,4
18,192,4
21,67,4
21,268,4
25,161,4
25,254,4
33,36,4
33,164,4
36,288,4
44,161,4
44,166,4
52,1,4
52,264,4
66,67,4
66,85,4
72,73,4
73,1,4
74,99,4
74,122,4
74,138,4
74,286,4
74,292,4
78,269,4
80,204,4
80,230,4
83,192,4
85,129,4
87,254,4
87,284,4
96,194,4
96,286,4
99,235,4
108,141,4
108,264,4
110,208,4
122,186,4
129,267,4
141,212,4
164,243,4
166,262,4
194,204,4
199,269,4
199,288,4
208,241,4
228,235,4
228,272,4
230,299,4
241,264,4
243,294,4
247,272,4
247,284,4
266,267,4
298,299,4
41,215,5
41,252,5
174,252,5
175,252,5
215,275,5
224,275,5
224,294,5
227,294,5
3,156,6
3,294,6
11,83,6
11,104,6
14,92,6
14,167,6
15,78,6
33,36,6
33,164,6
36,288,6
78,269,6
83,192,6
90,104,6
90,145,6
92,145,6
101,110,6
101,226,6
147,150,6
147,282,6
150,226,6
150,308,6
156,167,6
164,243,6
192,217,6
199,269,6
199,288,6
217,282,6
243,294,6
308,226,6
11,28,7
11,248,7
23,41,7
23,157,7
28,107,7
41,42,7
42,183,7
43,183,7
43,288,7
45,206,7
45,242,7
71,172,7
71,296,7
94,253,7
94,289,7
107,284,7
142,289,7
142,296,7
144,206,7
144,281,7
157,232,7
172,281,7
232,278,7
246,288,7
248,253,7
278,284,7
2,156,8
6,46,8
11,94,8
11,104,8
14,92,8
14,167,8
46,50,8
46,53,8
53,213,8
62,168,8
62,279,8
75,209,8
75,221,8
90,104,8
90,145,8
92,145,8
94,281,8
115,178,8
115,184,8
115,290,8
125,134,8
125,270,8
134,219,8
156,167,8
168,179,8
168,213,8
178,201,8
179,180,8
180,198,8
184,198,8
201,281,8
209,290,8
219,221,8
7,145,9
7,188,9
8,124,9
8,263,9
12,56,9
12,256,9
13,157,9
13,167,9
22,47,9
22,111,9
29,84,9
29,157,9
34,100,9
34,119,9
38,58,9
38,81,9
40,47,9
40,89,9
40,139,9
40,170,9
49,87,9
49,151,9
54,55,9
54,56,9
55,244,9
58,119,9
59,239,9
59,257,9
77,93,9
77,124,9
84,136,9
87,278,9
89,145,9
89,170,9
89,276,9
93,165,9
93,287,9
100,111,9
102,258,9
102,276,9
121,260,9
136,190,9
136,278,9
139,263,9
151,258,9
167,188,9
169,239,9
190,244,9
256,257,9
260,301,9
287,301,9
1,73,10
1,233,10
1,264,10
5,193,10
5,251,10
9,31,10
9,231,10
10,95,10
10,128,10
17,74,10
17,110,10
30,176,10
30,189,10
31,302,10
39,128,10
39,145,10
57,187,10
60,126,10
60,151,10
73,182,10
74,99,10
75,209,10
75,221,10
95,160,10
99,235,10
107,133,10
107,196,10
110,264,10
116,117,10
116,118,10
116,132,10
117,118,10
117,307,10
125,134,10
125,270,10
126,222,10
130,131,10
130,132,10
131,189,10
133,146,10
134,219,10
145,222,10
146,235,10
151,196,10
160,265,10
176,233,10
182,193,10
187,231,10
209,234,10
219,221,10
234,250,10
250,251,10
265,302,10
26,259,11
26,273,11
35,244,11
89,145,11
89,276,11
95,123,11
95,223,11
107,191,11
107,272,11
123,145,11
191,276,11
197,271,11
197,272,11
223,259,11
244,271,11
13,278,12
4,70,13
4,200,13
13,224,13
19,97,13
20,65,13
20,216,13
27,79,13
27,200,13
32,70,13
32,203,13
42,120,13
42,291,13
43,79,13
43,218,13
43,303,13
61,171,13
61,237,13
63,202,13
63,218,13
64,106,13
64,135,13
65,97,13
69,86,13
69,106,13
86,152,13
120,237,13
135,171,13
155,224,13
155,283,13
200,283,13
200,291,13
202,216,13
203,246,13
224,261,13
283,291,13
303,304,13
304,305,13
305,306,13
