id,latitude,longitude,name,display_name,zone,total_lines,rail
1,515.028,-0.2801,Acton Town,Acton<br />Town,3,2,0
2,515.143,-0.0755,Aldgate,NULL,1,2,0
3,515.154,-0.0726,Aldgate East,Aldgate<br />East,1,2,0
4,515.107,-0.013,All Saints,All<br />Saints,2,1,0
5,515.407,-0.2997,Alperton,NULL,4,1,0
6,516.736,-0.607,Amersham,NULL,9,1,1
7,515.322,-0.1058,Angel,NULL,1,1,0
8,515.653,-0.1353,Archway,NULL,2.5,1,0
9,516.164,-0.1331,Arnos Grove,Arnos<br />Grove,4,1,0
10,515.586,-0.1059,Arsenal,NULL,2,1,0
11,515.226,-0.1571,Baker Street,Baker<br />Street,1,5,0
12,514.431,-0.1525,Balham,NULL,3,1,1
13,515.133,-0.0886,Bank,NULL,1,4,0
14,515.204,-0.0979,Barbican,NULL,1,3,0
15,515.396,0.081,Barking,NULL,4,2,1
16,515.856,0.0887,Barkingside,NULL,4,1,0
17,514.905,-0.2139,Barons Court,Barons<br />Court,2,2,0
18,515.121,-0.1879,Bayswater,NULL,1,2,0
19,515.148,0.0613,Beckton,NULL,3,1,0
20,515.087,0.055,Beckton Park,Beckton<br />Park,3,1,0
21,515.403,0.127,Becontree,NULL,5,1,0
22,515.504,-0.1642,Belsize Park,Belsize<br />Park,2,1,0
23,514.979,-0.0637,Bermondsey,NULL,2,1,0
24,51.527,-0.0549,Bethnal Green,Bethnal<br />Green,2,1,0
25,51.512,-0.1031,Blackfriars,NULL,1,2,0
26,515.867,-0.0417,Blackhorse Road,Blackhorse<br />Road,3,1,1
27,515.079,-0.0066,Blackwall,NULL,2,1,0
28,515.142,-0.1494,Bond Street,Bond<br />Street,1,2,0
29,515.011,-0.0943,Borough,NULL,1,1,0
30,514.956,-0.325,Boston Manor,Boston<br />Manor,4,1,0
31,516.071,-0.1243,Bounds Green,Bounds<br />Green,3.5,1,0
32,515.273,-0.0208,Bow Church,Bow<br />Church,2,1,0
33,515.269,-0.0247,Bow Road,Bow<br />Road,2,2,0
34,515.766,-0.2136,Brent Cross,Brent<br />Cross,3,1,0
35,514.627,-0.1145,Brixton,NULL,2,1,1
36,515.248,-0.0119,Bromley-By-Bow,NULL,2.5,2,0
37,516.266,0.0471,Buckhurst Hill,Buckhurst<br />Hill,5,1,0
38,516.028,-0.2641,Burnt Oak,Burnt<br />Oak,4,1,0
39,515.481,-0.1188,Caledonian Road,Caledonian<br />Road,2,1,0
40,515.392,-0.1426,Camden Town,Camden<br />Town,2,1,0
41,514.982,-0.0502,Canada Water,Canada<br />Water,2,2,0
42,515.051,-0.0209,Canary Wharf,Canary<br />Wharf,2,2,0
43,515.147,0.0082,Canning Town,Canning<br />Town,2.5,2,1
44,515.113,-0.0904,Cannon Street,Cannon<br />Street,1,2,0
45,516.078,-0.2947,Canons Park,Canons<br />Park,5,1,0
46,516.679,-0.561,Chalfont & Latimer,Chalfont &<br />Latimer,8,1,1
47,515.441,-0.1538,Chalk Farm,Chalk<br />Farm,2,1,0
48,515.185,-0.1111,Chancery Lane,Chancery<br />Lane,1,1,0
49,51.508,-0.1247,Charing Cross,Charing<br />Cross,1,2,1
50,517.052,-0.611,Chesham,NULL,9,1,0
51,516.177,0.0755,Chigwell,NULL,4,1,0
52,514.946,-0.2678,Chiswick Park,Chiswick<br />Park,3,1,0
53,516.543,-0.5183,Chorleywood,NULL,7,1,0
54,514.618,-0.1384,Clapham Common,Clapham<br />Common,2,1,0
55,514.649,-0.1299,Clapham North,Clapham<br />North,2,1,0
56,514.527,-0.148,Clapham South,Clapham<br />South,2.5,1,0
57,516.517,-0.1496,Cockfosters,NULL,5,1,0
58,515.955,-0.2502,Colindale,NULL,4,1,0
59,51.418,-0.1778,Colliers Wood,Colliers<br />Wood,3,1,0
60,515.129,-0.1243,Covent Garden,Covent<br />Garden,1,1,0
61,514.957,-0.0144,Crossharbour & London Arena,Crossharbour &<br />London Arena,2,1,0
62,51.647,-0.4412,Croxley,NULL,7,1,0
63,515.095,0.0276,Custom House,Custom<br />House,3,1,0
64,514.827,-0.0096,Cutty Sark,Cutty<br />Sark,2.5,1,0
65,515.085,0.064,Cyprus,NULL,3,1,0
66,515.443,0.1655,Dagenham East,Dagenham<br />East,5,1,0
67,515.417,0.1469,Dagenham Heathway,Dagenham<br />Heathway,5,1,0
